State,Clinton,Trump,Johnson,Obama 2012,Romney,Obama 2008,McCain
Alabama,729547,1318255,44467,795696,1255925,813479,1266546
Alaska,116454,163387,18725,122640,164676,123594,193841
Arizona,1161167,1252401,106327,1025232,1233654,1034707,1230111
Arkansas,380494,684872,29829,394409,647744,422310,638017
California,8753788,4483810,478500,7854285,4839958,8274473,5011781
Colorado,1338870,1202484,144121,1323101,1185243,1288576,1073589
Connecticut,897572,673215,48676,905083,634892,997772,629428
Delaware,235603,185127,14757,242584,165484,255459,152374
Dist. of Col.,282830,12723,4906,267070,21381,245800,17367
Florida,4504975,4617886,207043,4237756,4163447,4282074,4045624
Georgia,1877963,2089104,125306,1773827,2078688,1844137,2048744
Hawaii,266891,128847,15954,306658,121015,325871,120566
Idaho,189765,409055,28331,212787,420911,236440,403012
Illinois,3090729,2146015,209596,3019512,2135216,3419673,2031527
Indiana,1033126,1557286,133993,1152887,1420543,1374039,1345648
Iowa,653669,800983,59186,822544,730617,828940,682379
Kansas,427005,671018,55406,440726,692634,514765,699655
Kentucky,628854,1202971,53752,679370,1087190,751985,1048462
Louisiana,780154,1178638,37978,809141,1152262,782989,1148275
Maine,357735,335593,38105,401306,292276,421923,295273
Maryland,1677928,943169,79605,1677844,971869,1629467,959862
Massachusetts,1995196,1090893,138018,1921290,1188314,1904097,1108854
Michigan,2268839,2279543,172136,2564569,2115256,2872579,2048639
Minnesota,1367716,1322951,112972,1546167,1320225,1573354,1275409
Mississippi,485131,700714,14435,562949,710746,554662,724597
Missouri,1071068,1594511,97359,1223796,1482440,1441911,1445814
Montana,177709,279240,28037,201839,267928,231667,242763
Nebraska,284494,495961,38946,302081,475064,333319,452979
Nevada,539260,512058,37384,531373,463567,533736,412827
New Hampshire,348526,345790,30777,369561,329918,384826,316534
New Jersey,2148278,1601933,72477,2122786,1478088,2215422,1613207
New Mexico,385234,319666,74541,415335,335788,472422,346832
New York,4491191,2790073,174951,4471871,2485432,4769700,2742298
North Carolina,2189313,2362628,130127,2178391,2270395,2142651,2128474
North Dakota,93758,216794,21434,124966,188320,141278,168601
Ohio,2394164,2841005,174498,2827621,2661407,2933388,2674491
Oklahoma,420375,949136,83481,443547,891325,502496,960165
Oregon,1002106,782403,94231,970488,754175,1037291,738475
Pennsylvania,2926441,2970733,146715,2990274,2680434,3276363,2655885
Rhode Island,252525,180543,14746,279677,157204,296571,165391
South Carolina,855373,1155389,49204,865941,1071645,862449,1034896
South Dakota,117442,227701,20845,145039,210610,170924,203054
Tennessee,870695,1522925,70397,960709,1462330,1087437,1479178
Texas,3877868,4685047,283492,3308124,4569843,3528633,4479328
Utah,310676,515231,39608,251813,740600,327670,596030
Vermont,178573,95369,10078,199239,92698,219262,98974
Virginia,1981473,1769443,118274,1971820,1822522,1959532,1725005
Washington,1742718,1221747,160879,1755396,1290670,1750848,1229216
West Virginia,188794,489371,23004,238269,417655,303857,397466
Wisconsin,1382536,1405284,106674,1620985,1410966,1677211,1262393
Wyoming,55973,174419,13287,69286,170962,82868,164958
